"Plot17"
"Time (sec)","Angular Velocity3 (deg/sec)"
4.20999999999995,-1.60393914404468
4.21999999999995,-14.647150574309
4.22999999999995,-26.9135983190059
4.23999999999995,-38.4398017036209
4.24999999999995,-49.2550775206042
4.25999999999995,-59.3808342737055
4.26999999999995,-68.8301188403419
4.27999999999995,-77.6074317899378
4.28999999999995,-85.7088741804836
4.29999999999995,-93.1227153027236
4.30999999999995,-99.8304946409302
4.31999999999995,-105.808764172494
4.32999999999995,-111.031537929601
4.33999999999995,-115.473431927137
4.34999999999995,-119.11335132482
4.35999999999995,-121.938428065599
4.36999999999995,-123.94776700991
4.37999999999995,-125.155471054017
4.38999999999995,-125.592434079847
4.39999999999995,-125.3065347229
4.40999999999995,-124.361129720683
4.41999999999995,-122.832029549563
4.42999999999995,-120.803415964021
4.43999999999995,-118.363298873144
4.44999999999995,-115.599115496422
4.45999999999995,-112.593954891306
4.46999999999995,-109.423701755259
4.47999999999995,-106.155195669648
4.48999999999995,-102.845342432384
4.49999999999995,-99.5410135190866
4.50999999999995,-96.2795274139556
4.51999999999995,-93.0895082237543
4.52999999999995,-89.99194917927
4.53999999999995,-87.0013422572811
4.54999999999995,-84.1267848927578
4.55999999999995,-81.3730029378563
4.56999999999995,-78.7412601874666
4.57999999999995,-76.2301423756187
4.58999999999995,-73.8362174834111
4.59999999999995,-71.5545808146322
4.60999999999995,-69.3792976317276
4.61999999999995,-67.3037571913968
4.62999999999995,-65.3209519070471
4.63999999999995,-63.4236943587655
4.64999999999995,-61.6047833277472
4.65999999999995,-59.8571285851708
4.66999999999994,-58.1738425349249
4.67999999999994,-56.5483055122688
4.68999999999994,-54.9742102572587
4.69999999999994,-53.4455900809474
4.70999999999994,-51.9568343493596
4.71999999999994,-50.5026941943
4.72999999999994,-49.0782807733657
4.73999999999994,-47.6790579156032
4.74999999999994,-46.3008306119927
4.75999999999994,-44.9397304919171
4.76999999999994,-43.5921990761924
4.77999999999994,-42.2549700852661
4.78999999999994,-40.9250502717271
4.79999999999994,-39.5996997466685
4.80999999999994,-38.2764128912721
4.81999999999994,-36.9528988979898
4.82999999999994,-35.6270626093165
4.83999999999994,-34.2969858165064
4.84999999999994,-32.960909108533
4.85999999999994,-31.6172143010958
4.86999999999994,-30.2644074570102
4.87999999999994,-28.9011025369804
4.88999999999994,-27.5260057148532
4.89999999999994,-26.1379003480985
4.90999999999994,-24.7356325733232
4.91999999999994,-23.3180975060099
4.92999999999994,-21.8842260419749
4.93999999999994,-20.4329722433847
4.94999999999994,-18.9633012782627
4.95999999999994,-17.474177881569
4.96999999999994,-15.9645553240328
4.97999999999994,-14.4333648766143
4.98999999999994,-12.8795057571473
4.99999999999994,-11.3018355433912
5.00999999999994,-9.69916105251177
5.01999999999994,-8.07022969918709
5.02999999999994,-6.4137213557296
5.03999999999994,-4.72824074697646
5.04999999999994,-3.01231043248118
5.05999999999994,-1.26436445760618
5.06999999999994,0.517257215491252
5.07999999999994,2.33431334715096
5.08999999999994,4.18866493533291
5.09999999999994,6.08227734484822
5.10999999999994,8.01722071238047
5.11999999999994,9.99566818487755
5.12999999999994,12.0198914295948
5.13999999999993,14.0922526862468
5.14999999999993,16.2151924342262
5.15999999999993,18.3912114837312
5.16999999999993,20.622845980925
5.17999999999993,22.9126334044813
5.18999999999993,25.2630671190609
5.19999999999993,27.6765364090868
5.20999999999993,30.1552484617314
5.21999999999993,32.7011258039305
5.22999999999993,35.3156762115563
5.23999999999993,37.9998249135563
5.24999999999993,40.7537012054051
5.25999999999993,43.5763679127765
5.26999999999993,46.4654814215003
5.27999999999993,49.4168671238658
5.28999999999993,52.4239939795171
5.29999999999993,55.4773321012053
5.30999999999993,58.5635782936013
5.31999999999993,61.6647409906872
5.32999999999993,64.7570867458349
5.33999999999993,67.8099715556196
5.34999999999993,70.7846125265565
5.35999999999993,73.6329037833665
5.36999999999993,76.2964447811663
5.37999999999993,78.706026104397
5.38999999999993,80.7818939802018
5.39999999999993,82.4351636844391
5.40999999999993,83.5707334409464
5.41999999999993,84.0919145517643
5.42999999999993,83.9067110778019
5.43999999999993,82.9352604049174
5.44999999999993,81.1174814861101
5.45999999999993,78.4196339718634
5.46999999999993,74.8384618645411
5.47999999999993,70.4019762833697
5.48999999999993,65.1666534818066
5.49999999999993,59.2116385113874
5.50999999999993,52.631153179588
5.51999999999993,45.5265151656122
5.52999999999993,37.9989794203542
5.53999999999993,30.1441670625349
5.54999999999993,22.048353147879
5.55999999999993,13.7864941552808
5.56999999999993,5.42165029967245
5.57999999999993,-2.99461596177548
5.58999999999993,-11.4212545202702
5.59999999999993,-19.8264645239377
5.60999999999992,-28.1863709175453
5.61999999999992,-36.4837758436484
5.62999999999992,-44.7070603053764
5.63999999999992,-52.8492588792136
5.64999999999992,-60.9073196045659
5.65999999999992,-68.8815288784748
5.66999999999992,-76.7750852702309
5.67999999999992,-84.593800335348
5.68999999999992,-92.3459061693726
5.69999999999992,-100.04195155596
5.70999999999992,-107.694771439768
5.71999999999992,-115.319516850266
5.72999999999992,-122.933734449907
5.73999999999992,-130.557485863897
5.74999999999992,-138.213496724714
5.75999999999992,-145.927323282097
5.76999999999992,-153.727519692503
5.77999999999992,-161.645780404179
5.78999999999992,-169.717017277276
5.79999999999992,-177.979307013218
5.80999999999992,-186.473606097712
5.81999999999992,-195.243070418187
5.82999999999992,-204.331724488747
5.83999999999992,-213.782086548429
5.84999999999992,-223.631161464485
5.85999999999992,-233.903938126233
5.86999999999992,-244.603239494429
5.87999999999992,-255.69451922317
5.88999999999992,-267.084352775977
5.89999999999992,-278.592532907187
5.90999999999992,-289.920967764821
5.91999999999992,-300.629089732989
5.92999999999992,-310.134591112851
5.93999999999992,-317.763956573347
5.94999999999992,-322.867190295517
5.95999999999992,-324.975287637993
5.96999999999992,-323.934483457801
5.97999999999992,-319.943515973145
5.98999999999992,-313.473584534103
5.99999999999992,-305.12177736527
6.00999999999992,-295.472817771752
6.01999999999992,-285.013870679736
6.02999999999992,-274.105175719011
6.03999999999992,-262.98722834869
6.04999999999992,-251.803881405588
6.05999999999992,-240.62800070356
6.06999999999992,-229.483542059336
6.07999999999991,-218.362378350886
6.08999999999991,-207.236242004409
6.09999999999991,-196.064837081226
6.10999999999991,-184.801171985674
6.11999999999991,-173.394981911644
6.12999999999991,-161.794886297822
6.13999999999991,-149.949745147119
6.14999999999991,-137.80955073182
6.15999999999991,-125.326115930445
6.16999999999991,-112.453793529648
6.17999999999991,-99.150476809075
6.18999999999991,-85.3792071069152
6.19999999999991,-71.1108359686113
6.20999999999991,-56.3283864641767
6.21999999999991,-41.034079805746
6.22999999999991,-25.260261322129
6.23999999999991,-9.08582645077193
6.24999999999991,7.34041262645156
6.25999999999991,23.7691711627882
6.26999999999991,39.816328593492
6.27999999999991,54.9356246846109
6.28999999999991,68.4202511762941
6.29999999999991,79.4629026614633
6.30999999999991,87.2929931806522
6.31999999999991,91.3665989380305
6.32999999999991,91.5284670347927
6.33999999999991,88.0542526847336
6.34999999999991,81.5483655240384
6.35999999999991,72.7625405422461
6.36999999999991,62.4285556415694
6.37999999999991,51.1582408720922
6.38999999999991,39.4112934101581
6.39999999999991,27.5057653895064
6.40999999999991,15.6460964935379
6.41999999999991,3.95317739384078
6.42999999999991,-7.51028315865043
6.43999999999991,-18.7206835325841
6.44999999999991,-29.6800985196228
6.45999999999991,-40.4071947592216
6.46999999999991,-50.9312476892054
6.47999999999991,-61.2882509172471
6.48999999999991,-71.5183801321207
6.49999999999991,-81.6642753483024
6.50999999999991,-91.7697450413831
6.51999999999991,-101.878573356322
6.52999999999991,-112.033136017886
6.53999999999991,-122.272505396033
6.5499999999999,-132.629657977386
6.5599999999999,-143.127269614682
6.5699999999999,-153.771471605736
6.5799999999999,-164.542746920252
6.5899999999999,-175.38323963455
6.5999999999999,-186.180086630279
6.6099999999999,-196.745708574067
6.6199999999999,-206.798793249948
6.6299999999999,-215.954389332514
6.6399999999999,-223.736861362679
6.6499999999999,-229.630784436687
6.6599999999999,-233.174439813121
6.6699999999999,-234.075082810025
6.6799999999999,-232.298227256225
6.6899999999999,-228.083079528877
6.6999999999999,-221.874385970421
6.7099999999999,-214.208020458901
6.7199999999999,-205.603463375109
6.7299999999999,-196.496101890016
6.7399999999999,-187.212710212752
6.7499999999999,-177.976509034246
6.7599999999999,-168.926009514069
6.7699999999999,-160.136728140643
6.7799999999999,-151.640360026934
6.7899999999999,-143.439693704361
6.7999999999999,-135.51936696622
6.8099999999999,-127.85325844569
6.8199999999999,-120.409381088136
6.8299999999999,-113.153022371137
6.8399999999999,-106.048695507195
6.8499999999999,-99.0613058153528
6.8599999999999,-92.1568126583943
6.8699999999999,-85.3025791687276
6.8799999999999,-78.4675438938872
6.8899999999999,-71.622308311005
6.8999999999999,-64.7392198433524
6.9099999999999,-57.7925142326201
6.9199999999999,-50.7585904132625
6.9299999999999,-43.6165000937002
6.9399999999999,-36.3487590432254
6.9499999999999,-28.942618277527
6.9599999999999,-21.391975029467
6.9699999999999,-13.7001460781629
6.9799999999999,-5.88376010404096
6.9899999999999,2.02201885491319
6.9999999999999,9.95677384001037
7.00999999999989,17.826940417929
7.01999999999989,25.4976121126478
7.02999999999989,32.7861723690905
7.03999999999989,39.4613372345304
7.04999999999989,45.2523967630552
7.05999999999989,49.8729581673197
7.06999999999989,53.0596885411474
7.07999999999989,54.6192392027112
7.08999999999989,54.4690170744792
7.09999999999989,52.6559129503265
7.10999999999989,49.3449668097704
7.11999999999989,44.7832903759097
7.12999999999989,39.254026815817
7.13999999999989,33.0354789959028
7.14999999999989,26.3738702616858
7.15999999999989,19.4706819886014
7.16999999999989,12.4810177013612
7.17999999999989,5.51835843863159
7.18999999999989,-1.33804853223638
7.19999999999989,-8.03551712299419
7.20999999999989,-14.5411297329956
7.21999999999989,-20.8362243144524
7.22999999999989,-26.9121545854952
7.23999999999989,-32.767144144803
7.24999999999989,-38.4040106012138
7.25999999999989,-43.8285500461255
7.26999999999989,-49.0484078176897
7.27999999999989,-54.0723001878026
7.28999999999989,-58.9094855023899
7.29999999999989,-63.5694112735241
7.30999999999989,-68.0614826644888
7.31999999999989,-72.3949162422675
7.32999999999989,-76.5786511036122
7.33999999999989,-80.6212990174416
7.34999999999989,-84.531120551385
7.35999999999989,-88.3160179480288
7.36999999999989,-91.9835385085394
7.37999999999989,-95.5408840406344
7.38999999999989,-98.9949233606377
7.39999999999989,-102.352205727491
7.40999999999989,-105.618973729126
7.41999999999989,-108.801174576399
7.42999999999989,-111.904469016109
7.43999999999989,-114.934237270755
7.44999999999989,-117.895581491367
7.45999999999989,-120.793324270452
7.46999999999989,-123.632002762187
7.47999999999988,-126.415857949524
7.48999999999988,-129.148818565415
7.49999999999988,-131.834479142588
7.50999999999988,-134.476071638184
7.51999999999988,-137.076430062702
7.52999999999988,-139.637947556022
7.53999999999988,-142.162525408904
7.54999999999988,-144.651513643955
7.55999999999988,-147.10564297151
7.56999999999988,-149.524948252176
7.57999999999988,-151.908684054444
7.58999999999988,-154.255233532799
7.59999999999988,-156.562012698033
7.60999999999988,-158.82537323093
7.61999999999988,-161.040508314349
7.62999999999988,-163.201367504885
7.63999999999988,-165.30058837001
7.64999999999988,-167.329454353425
7.65999999999988,-169.277889892809
7.66999999999988,-171.134504905168
7.67999999999988,-172.886700996585
7.68999999999988,-174.520850703579
7.69999999999988,-176.022558308203
7.70999999999988,-177.377005964797
7.71999999999988,-178.569381958088
7.72999999999988,-179.585379185491
7.73999999999988,-180.411742213556
7.74999999999988,-181.036831792802
7.75999999999988,-181.451168178574
7.76999999999988,-181.647910720475
7.77999999999988,-181.623232326776
7.78999999999988,-181.376554175263
7.79999999999988,-180.910617955179
7.80999999999988,-180.231388395361
7.81999999999988,-179.347795464054
7.82999999999988,-178.271340743066
7.83999999999988,-177.015603763797
7.84999999999988,-175.595690111639
7.85999999999988,-174.027663537204
7.86999999999988,-172.327999874814
7.87999999999988,-170.513092710241
7.88999999999988,-168.598831185552
7.89999999999988,-166.600260686392
7.90999999999988,-164.531328651123
7.91999999999988,-162.404711096429
7.92999999999988,-160.231710913601
