"Plot14"
"Time (sec)","Linear Displacement1 (mm)","Linear Displacement2 (mm)","Linear Displacement3 (mm)"
0.820000000000001,25.000000000001,4586.43789441756,-4301.92244515084
0.830000000000001,25.000000000001,4546.74253946159,-4357.03482046908
0.840000000000001,25.000000000001,4498.26936864615,-4412.19524060637
0.850000000000001,25.000000000001,4440.3640977455,-4467.01463501963
0.860000000000001,25.000000000001,4372.96049175662,-4521.11827781147
0.870000000000001,25.000000000001,4296.62541860561,-4574.22585371294
0.880000000000001,25.000000000001,4212.39131911809,-4626.19373883869
0.890000000000001,25.000000000001,4121.48857297391,-4677.00498184309
0.900000000000001,25.000000000001,4025.12093241668,-4726.72850569004
0.910000000000001,25.000000000001,3924.34384365275,-4775.47605687473
0.920000000000001,25.000000000001,3820.0285637243,-4823.37136735181
0.930000000000001,25.000000000001,3712.87307906102,-4870.53282634928
0.940000000000001,25.000000000001,3603.43036610147,-4917.0658006152
0.950000000000001,25.000000000001,3492.13866856587,-4963.06055905596
0.960000000000001,25.000000000001,3379.34779979169,-5008.5930274574
0.970000000000001,25.000000000001,3265.34005347214,-5053.72677985926
0.980000000000001,25.000000000001,3150.34610603962,-5098.51544090316
0.990000000000001,25.000000000001,3034.5568056232,-5143.0051022214
1,25.000000000001,2918.13174705802,-5187.23657366159
1.01,25.000000000001,2801.20538403054,-5231.24739209436
1.02,25.000000000001,2683.89125854117,-5275.07355183299
1.03,25.000000000001,2566.2847873586,-5318.75093372763
1.04,25.000000000001,2448.46493767157,-5362.31640989222
1.05,25.000000000001,2330.49504988258,-5405.80859706211
1.06,25.000000000001,2212.42301658826,-5449.26822806415
1.07,25.000000000001,2094.28099676646,-5492.73811015689
1.08,25.000000000001,1976.0848278863,-5536.26264238348
1.09,25.000000000001,1857.83329150639,-5579.8868719797
1.1,25.000000000001,1739.50738669404,-5623.65508226011
1.11,25.000000000001,1621.0697680467,-5667.60892094685
1.12,25.000000000001,1502.46450958619,-5711.78509802256
1.13,25.000000000001,1383.61736131436,-5756.21270525862
1.14,25.000000000001,1264.4366709954,-5800.9102350194
1.15,25.000000000001,1144.81514862634,-5845.88240317369
1.16,25.000000000001,1024.63265290606,-5891.11690906925
1.17,25.000000000001,903.760173710109,-5936.58129266478
1.18,25.000000000001,782.0651652723,-5982.22007087509
1.19,25.000000000001,659.418341807873,-6027.95234354079
1.2,25.000000000001,535.701969944327,-6073.67003917494
1.21,25.000000000001,410.819573812497,-6119.23689828129
1.22,25.000000000001,284.70681615271,-6164.48813585029
1.23,25.000000000001,157.343167789737,-6209.23044902069
1.24,25.000000000001,28.7639067040577,-6253.24161054286
1.25,25.000000000001,-100.927877001356,-6296.2682982527
1.26,25.000000000001,-231.549094498686,-6338.02005347375
1.27,25.000000000001,-362.82309451047,-6378.15631547698
1.28,25.000000000001,-494.361891043693,-6416.26225990832
