"Plot15"
"Time (sec)","Velocity2 (mm/sec)","Velocity3 (mm/sec)","Velocity4 (mm/sec)"
1.43,2.40328168561686e-12,-5618.57326974412,6855.91906263482
1.44,2.42008785125054e-12,-5508.26757460709,6928.35694879558
1.45,2.43689401688422e-12,-5422.61523054149,6962.10313606046
1.46,2.45370018251791e-12,-5354.99191904574,6967.17959876967
1.47,2.47050634815159e-12,-5300.83899337009,6950.68570380785
1.48,2.48731251378528e-12,-5256.95464134374,6917.74900031394
1.49,2.50411867941896e-12,-5221.04042065343,6872.13947636454
1.5,2.52092484505265e-12,-5191.4056322411,6816.67182053542
1.51,2.53773101068633e-12,-5166.76995949235,6753.47333395304
1.52,2.55453717632002e-12,-5146.12791471245,6684.16588205734
1.53,2.5713433419537e-12,-5128.6528869299,6609.99193460661
1.54,2.58814950758738e-12,-5113.6268127818,6531.90402696884
1.55,2.60495567322107e-12,-5100.38678309486,6450.63004455964
1.56,2.62176183885475e-12,-5088.28306198554,6366.72257941994
1.57,2.63856800448844e-12,-5076.64504978623,6280.5979357939
1.58,2.65537417012212e-12,-5064.75308135164,6192.56863193297
1.59,2.67218033575581e-12,-5051.81490068056,6102.87209871038
1.6,2.68898650138949e-12,-5036.94637370563,6011.69747994225
1.61,2.70579266702317e-12,-5019.15661354465,5919.21185138215
1.62,2.72259883265686e-12,-4997.33828363715,5825.58669956443
1.63,2.73940499829054e-12,-4970.26448393426,5731.02505806146
1.64,2.75621116392423e-12,-4936.59436486666,5635.78921569982
1.65,2.77301732955791e-12,-4894.89047408816,5540.22831395468
1.66,2.78982349519159e-12,-4843.65178128492,5444.80435714529
1.67,2.80662966082528e-12,-4781.36718770611,5350.11409473126
1.68,2.82343582645896e-12,-4706.59474630989,5256.90287169503
1.69,2.84024199209265e-12,-4618.07113261651,5166.06497930278
1.7,2.85704815772633e-12,-4514.85310548836,5078.6236306132
1.71,2.87385432336002e-12,-4396.48656872066,4995.68320098477
1.72,2.8906604889937e-12,-4263.18852888376,4918.3480574091
1.73,2.90746665462739e-12,-4116.01337811102,4847.60761264897
1.74,2.92427282026107e-12,-3956.96115362856,4784.19699003782
1.75,2.94107898589475e-12,-3788.9791373777,4728.45554798179
1.76,2.95788515152844e-12,-3615.81851203033,4680.21677398779
1.77,2.97469131716212e-12,-3441.73969904132,4638.76537238495
1.78,2.99149748279581e-12,-3271.10677399211,4602.88490652265
1.79,3.00830364842949e-12,-3107.95320829594,4570.99355203424
1.8,3.02510981406317e-12,-2955.61510034538,4541.33710460504
1.81,3.04191597969686e-12,-2816.50504293781,4512.19160433626
1.82,3.05872214533054e-12,-2692.05131496655,4482.0306079485
1.83,3.07552831096423e-12,-2582.77867939785,4449.63049655954
1.84,3.09233447659791e-12,-2488.4785753596,4414.10991086389
1.85,3.1091406422316e-12,-2408.41279486193,4374.91625777932
1.86,3.12594680786528e-12,-2341.50787625357,4331.77924448791
1.87,3.14275297349896e-12,-2286.51624526597,4284.65027078587
1.88,3.15955913913265e-12,-2242.13617206896,4233.64133268329
1.89,3.17636530476633e-12,-2207.09291074368,4178.97124887947
1.9,3.19317147040002e-12,-2180.188166253,4120.9224080628
1.91,3.2099776360337e-12,-2160.32615844564,4059.80827183722
1.92,3.22678380166738e-12,-2146.52373214349,3995.95033421839
1.93,3.24358996730107e-12,-2137.91031052266,3929.66272231018
1.94,3.26039613293475e-12,-2133.72195701304,3861.24257152355
1.95,3.27720229856844e-12,-2133.29240017128,3790.96458305419
1.96,3.29400846420212e-12,-2136.04286208113,3719.07848429351
1.97,3.31081462983581e-12,-2141.47180136023,3645.80842649135
1.98,3.32762079546949e-12,-2149.14519320535,3571.35361807751
1.99,3.34442696110317e-12,-2158.6876562701,3495.88969936832
2,3.36123312673686e-12,-2169.77454063439,3419.57052278429
2.01,3.37803929237054e-12,-2182.12499161107,3342.53010769599
2.02,3.39484545800423e-12,-2195.49591731396,3264.88463267619
2.03,3.41165162363791e-12,-2209.67679074539,3186.73436926538
2.04,3.4284577892716e-12,-2224.48518263349,3108.16550741872
2.05,3.44526395490528e-12,-2239.76293397858,3029.25184521502
2.06,3.46207012053896e-12,-2255.37287860602,2950.05633163038
2.07,3.47887628617265e-12,-2271.19603730675,2870.63246198734
2.08,3.49568245180633e-12,-2287.12921332977,2791.02553144348
2.09,3.51248861744002e-12,-2303.08292894037,2711.27375578134
2.1,3.5292947830737e-12,-2318.97965136031,2631.40927024853
2.11,3.54610094870739e-12,-2334.75226385422,2551.459017978
2.12,3.56290711434107e-12,-2350.34274481248,2471.44553932722
2.13,3.57971327997475e-12,-2365.70102309873,2391.3876730031
2.14,3.59651944560844e-12,-2380.78398313236,2311.30117908498
