"Plot16"
"Time (sec)","Acceleration4 (mm/sec**2)","Acceleration5 (mm/sec**2)","Acceleration6 (mm/sec**2)"
2.85999999999998,1.68061656336843e-12,10750.4272851144,98.2049875658251
2.86999999999998,1.68061656336843e-12,12207.3189251848,929.726959065511
2.87999999999998,1.68061656336843e-12,13942.3790707347,1867.79407430944
2.88999999999998,1.68061656336843e-12,15996.8984072043,2910.26012949063
2.89999999999998,1.68061656336843e-12,18404.9917591326,4043.70613732412
2.90999999999998,1.68061656336843e-12,21181.7542518063,5237.14967536724
2.91999999999998,1.68061656336843e-12,24305.3029245819,6434.74967583538
2.92999999999998,1.68061656336843e-12,27693.6264028494,7549.65110568011
2.93999999999998,1.68061656336843e-12,31181.936345986,8463.34922804604
2.94999999999998,1.68061656336843e-12,34513.3058854366,9036.70011816587
2.95999999999998,1.68061656336843e-12,37360.2539254278,9137.04690815956
2.96999999999998,1.68061656336843e-12,39388.3118150519,8677.88714271375
2.97999999999998,1.68061656336843e-12,40348.6515553256,7655.21641355474
2.98999999999998,1.68061656336843e-12,40158.2235105985,6158.90226778479
2.99999999999998,1.68061656336843e-12,38922.0990910047,4348.73209295856
3.00999999999998,1.68061656336843e-12,36886.5938475557,2407.16392570005
3.01999999999998,1.68061656336843e-12,34354.6977820488,493.874865178224
3.02999999999998,1.68061656336843e-12,31608.9285563367,-1279.58468200191
3.03999999999998,1.68061656336843e-12,28867.6655890027,-2852.94860531534
3.04999999999998,1.68061656336843e-12,26275.092109488,-4206.79228780327
3.05999999999998,1.68061656336843e-12,23911.584872266,-5348.16861086181
3.06999999999998,1.68061656336843e-12,21811.2791922956,-6298.1525773951
3.07999999999998,1.68061656336843e-12,19978.805342031,-7083.20838842258
3.08999999999998,1.68061656336843e-12,18402.1053312459,-7730.09694245544
3.09999999999998,1.68061656336843e-12,17061.0560596546,-8263.32058566732
3.10999999999998,1.68061656336843e-12,15932.7335943195,-8704.13001772651
3.11999999999998,1.68061656336843e-12,14994.3330784156,-9070.38293833147
3.12999999999998,1.68061656336843e-12,14224.5886362734,-9376.80750077799
3.13999999999998,1.68061656336843e-12,13604.2902788058,-9635.41678819894
3.14999999999998,1.68061656336843e-12,13116.2885046579,-9855.94253916142
3.15999999999998,1.68061656336843e-12,12745.2283443573,-10046.2270555859
3.16999999999998,1.68061656336843e-12,12477.1586103533,-10212.5506246146
3.17999999999998,1.68061656336843e-12,12299.1066074356,-10359.8910713072
3.18999999999998,1.68061656336843e-12,12198.6709031455,-10492.12181791
3.19999999999998,1.68061656336843e-12,12163.6868334522,-10612.1578342673
3.20999999999998,1.68061656336843e-12,12181.9775641639,-10722.0631985422
3.21999999999998,1.68061656336843e-12,12241.2286787558,-10823.1323466188
3.22999999999998,1.68061656336843e-12,12329.0090441864,-10915.9576239542
3.23999999999997,1.68061656336843e-12,12432.9301778258,-11000.4963096037
3.24999999999997,1.68061656336843e-12,12540.9430898857,-11076.1462369848
3.25999999999997,1.68061656336843e-12,12641.7386128342,-11141.836821457
3.26999999999997,1.68061656336843e-12,12725.2018975556,-11196.1373529729
3.27999999999997,1.68061656336843e-12,12782.8580711298,-11237.3792734863
3.28999999999997,1.68061656336843e-12,12808.2428888303,-11263.7844536624
3.29999999999997,1.68061656336843e-12,12797.1415963986,-11273.5883498406
3.30999999999997,1.68061656336843e-12,12747.6600765392,-11265.1461898088
3.31999999999997,1.68061656336843e-12,12660.1199300995,-11237.0121905772
3.32999999999997,1.68061656336843e-12,12536.7970429392,-11187.9857368851
3.33999999999997,1.68061656336843e-12,12381.5448316205,-11117.123367181
3.34999999999997,1.68061656336843e-12,12199.3547715722,-11023.720070741
3.35999999999997,1.68061656336843e-12,11995.907092496,-10907.2668195376
3.36999999999997,1.68061656336843e-12,11777.1557869185,-10767.3929591798
3.37999999999997,1.68061656336843e-12,11548.9781764492,-10603.8021116069
3.38999999999997,1.68061656336843e-12,11316.9041926795,-10416.209015092
3.39999999999997,1.68061656336843e-12,11085.9272753167,-10204.2828527496
3.40999999999997,1.68061656336843e-12,10860.3891739757,-9967.60067351095
3.41999999999997,1.68061656336843e-12,10643.9253271637,-9705.61285384666
3.42999999999997,1.68061656336843e-12,10439.4552970962,-9417.62142231992
3.43999999999997,1.68061656336843e-12,10249.2031293969,-9102.77155012285
3.44999999999997,1.68061656336843e-12,10074.7344575307,-8760.0565418829
3.45999999999997,1.68061656336843e-12,9916.99986196219,-8388.33719569171
3.46999999999997,1.68061656336843e-12,9776.37688052123,-7986.37735903258
3.47999999999997,1.68061656336843e-12,9652.70586525566,-7552.89881174638
3.48999999999997,1.68061656336843e-12,9545.31756840578,-7086.66024073159
3.49999999999997,1.68061656336843e-12,9453.05299704503,-6586.56690511812
3.50999999999997,1.68061656336843e-12,9374.27903354352,-6051.81947026717
3.51999999999997,1.68061656336843e-12,9306.90689613467,-5482.11209912953
3.52999999999997,1.68061656336843e-12,9248.42504954254,-4877.89052539238
3.53999999999997,1.68061656336844e-12,9195.96403150783,-4240.67929973375
3.54999999999997,1.68061656336844e-12,9146.41778841207,-3573.4817647769
3.55999999999997,1.68061656336844e-12,9096.65368289283,-2881.24370802972
3.56999999999997,1.68061656336844e-12,9043.8491584064,-2171.348344078
3.57999999999997,1.68061656336844e-12,8985.99260504916,-1454.07260928601
3.58999999999997,1.68061656336843e-12,8922.47888288671,-742.856385350849
3.59999999999997,1.68061656336843e-12,8855.47782397114,-54.3759853783344
3.60999999999997,1.68061656336843e-12,8789.73163383243,592.397354566532
3.61999999999997,1.68061656336843e-12,8734.76090068662,1177.38996070355
3.62999999999997,1.68061656336843e-12,8704.34566197694,1682.22149576815
3.63999999999997,1.68061656336843e-12,8716.40070935464,2093.75465062253
3.64999999999997,1.68061656336843e-12,8791.23645951114,2408.37762793144
3.65999999999997,1.68061656336843e-12,8948.48727859997,2636.09835358638
3.66999999999997,1.68061656336843e-12,9202.96093926909,2803.33180005952
3.67999999999997,1.68061656336843e-12,9560.26988582686,2953.33310379459
3.68999999999997,1.68061656336843e-12,10013.4775058161,3143.84336878367
3.69999999999997,1.68061656336843e-12,10541.9123042441,3442.52535046683
3.70999999999996,1.68061656336843e-12,11112.6890791964,3921.76743298211
3.71999999999996,1.68061656336843e-12,11684.5568577649,4654.97112668996
3.72999999999996,1.68061656336843e-12,12212.8836160587,5716.33580486261
3.73999999999996,1.68061656336843e-12,12654.2165639168,7185.65140199323
3.74999999999996,1.68061656336843e-12,12968.9608149809,9159.23740591253
3.75999999999996,1.68061656336843e-12,13121.0408795685,11768.4936548072
3.76999999999996,1.68061656336843e-12,13073.5385087966,15209.0590309213
3.77999999999996,1.68061656336843e-12,12778.773684314,19786.8441109268
3.78999999999996,1.68061656336843e-12,12159.592266931,25992.567184252
3.79999999999996,1.68061656336843e-12,11073.9717429733,34628.2150582441
3.80999999999996,1.68061656336843e-12,9249.27491306655,47005.4359849697
3.81999999999996,1.68061656336843e-12,6157.37963981881,65231.9336352999
3.82999999999996,1.68061656336843e-12,811.984726700841,92363.6891957309
3.83999999999996,1.68061656336843e-12,-8371.78827212272,131301.64721706
3.84999999999996,1.68061656336843e-12,-22776.153982223,178988.507871064
3.85999999999996,1.68061656336844e-12,-40059.2367468288,214977.097533502
3.86999999999996,1.68061656336844e-12,-51748.8647886343,209792.691599838
3.87999999999996,1.68061656336845e-12,-52664.2337451757,167335.990378802
3.88999999999996,1.68061656336845e-12,-47185.6844593996,118681.490312063
