"Plot8"
"Time (sec)","Linear Velocity5 (mm/sec)","Linear Velocity6 (mm/sec)","Velocity1 (mm/sec)"
1.33,2.52535939604659e-12,-9999.37507338263,3600.59012954204
1.34,2.54000940301847e-12,-9693.92474535705,4276.99397955646
1.35,2.55438063819945e-12,-9335.25335873618,4940.6651546914
1.36,2.56863027319214e-12,-8933.88343298302,5569.04306304804
1.37,2.58291901355852e-12,-8503.33550684864,6143.31116654222
1.38,2.59738781449976e-12,-8057.81989267724,6650.79909159664
1.39,2.6121428607312e-12,-7610.16681257559,7085.5886182678
1.4,2.62725137054908e-12,-7170.57294408419,7447.57926952932
1.41,2.64274583790703e-12,-6746.24449721972,7740.77866978181
1.42,2.65863237439264e-12,-6341.67472573787,7971.54527621218
1.43,2.67489952487856e-12,-5959.21640022801,8147.19372094177
1.44,2.69152559856904e-12,-5599.69652832895,8275.06908763487
1.45,2.70848394668812e-12,-5262.94262711066,8362.02502139909
1.46,2.72574637755934e-12,-4948.18011794023,8414.18690831472
1.47,2.74328516268233e-12,-4654.30841463936,8436.89015573838
1.48,2.7610740879319e-12,-4380.08083938484,8434.71326972881
1.49,2.77908890760058e-12,-4124.21527515243,8411.55441351983
1.5,2.79730745117504e-12,-3885.45793074333,8370.72183125295
1.51,2.81570954419968e-12,-3662.61693112453,8315.02259630177
1.52,2.83427684231751e-12,-3454.57712869415,8246.84264873595
1.53,2.85299263535303e-12,-3260.30388559493,8168.21565414397
1.54,2.87184165280149e-12,-3078.84069053567,8080.88065242221
1.55,2.89080988619679e-12,-2909.30367971492,7986.3295379975
1.56,2.90988443476165e-12,-2750.87491538608,7885.84580421356
1.57,2.92905337565765e-12,-2602.79550147586,7780.53602414856
1.58,2.94830565749621e-12,-2464.35912797121,7671.3554216198
1.59,2.96763101433835e-12,-2334.90633108866,7559.12868425306
1.6,2.98701989748296e-12,-2213.81958760124,7444.56703251073
1.61,3.00646342133877e-12,-2100.51922121285,7328.28229819737
1.62,3.02595332094207e-12,-1994.46008323888,7210.7986817678
1.63,3.04548191826278e-12,-1895.12889807946,7092.56269390416
1.64,3.06504209511542e-12,-1802.04217819022,6973.95167768036
1.65,3.08462727072727e-12,-1714.74459608306,6855.28122802674
1.66,3.10423138241229e-12,-1632.80771512795,6736.81174515325
1.67,3.12384886807771e-12,-1555.82898558849,6618.7543053806
1.68,3.1434746495828e-12,-1483.43092471543,6501.27598461008
1.69,3.16310411621777e-12,-1415.26041268152,6384.50473395847
1.7,3.18273310777625e-12,-1350.98804645785,6268.53387931435
