"Plot12"
"Time (sec)","Angular Velocity1 (deg/sec)"
5.53999999999993,-116.435640641806
5.54999999999993,-115.15617951658
5.55999999999993,-113.723826199081
5.56999999999993,-112.130382370003
5.57999999999993,-110.368176688699
5.58999999999993,-108.430125994755
5.59999999999993,-106.309801923667
5.60999999999992,-104.001508608091
5.61999999999992,-101.500380243487
5.62999999999992,-98.8025116403903
5.63999999999992,-95.905140910324
5.64999999999992,-92.8069117016421
5.65999999999992,-89.5082535758536
5.66999999999992,-86.0119338146556
5.67999999999992,-82.3238532944049
5.68999999999992,-78.4541743204864
5.69999999999992,-74.418907419316
5.70999999999992,-70.2420622926546
5.71999999999992,-65.9584831783299
5.72999999999992,-61.6173781970294
5.73999999999992,-57.286349053309
5.74999999999992,-53.0553120498801
5.75999999999992,-49.0390454284221
5.76999999999992,-45.3762958829657
5.77999999999992,-42.2228539167947
5.78999999999992,-39.7365574125151
5.79999999999992,-38.0547118882262
5.80999999999992,-37.2686651090439
5.81999999999992,-37.4040151067642
5.82999999999992,-38.4146573353174
5.83999999999992,-40.1933752765614
5.84999999999992,-42.59426540769
5.85999999999992,-45.4581472996938
5.86999999999992,-48.6332875292838
5.87999999999992,-51.9880011480064
5.88999999999992,-55.4155897821475
5.89999999999992,-58.8339779755625
5.90999999999992,-62.1825605802068
5.91999999999992,-65.4181041554874
5.92999999999992,-68.5107614666405
5.93999999999992,-71.4406683395391
5.94999999999992,-74.1952469610369
5.95999999999992,-76.7671639828591
5.96999999999992,-79.152831585043
5.97999999999992,-81.3513295912695
5.98999999999992,-83.3636413098272
5.99999999999992,-85.1921168939044
6.00999999999992,-86.8400985193763
6.01999999999992,-88.3116587972479
6.02999999999992,-89.611418182727
6.03999999999992,-90.7444145757774
6.04999999999992,-91.7160103659981
6.05999999999992,-92.5318226185579
6.06999999999992,-93.1976690790521
6.07999999999991,-93.719524128028
6.08999999999991,-94.1034810473641
6.09999999999991,-94.3557181780782
6.10999999999991,-94.4824675246742
6.11999999999991,-94.4899849819201
6.12999999999991,-94.3845217676597
6.13999999999991,-94.1722969492927
6.14999999999991,-93.8594710896712
6.15999999999991,-93.4521211636582
6.16999999999991,-92.9562169163988
6.17999999999991,-92.3775988607874
6.18999999999991,-91.7219580860985
6.19999999999991,-90.9948180267051
6.20999999999991,-90.2015183003498
6.21999999999991,-89.3472006863418
6.22999999999991,-88.4367972746149
6.23999999999991,-87.4750207765812
6.24999999999991,-86.4663569571568
6.25999999999991,-85.4150591156894
6.26999999999991,-84.3251445194793
6.27999999999991,-83.200392672955
6.28999999999991,-82.0443452907536
6.29999999999991,-80.8603078318649
6.30999999999991,-79.6513524450115
6.31999999999991,-78.4203221723115
6.32999999999991,-77.169836257439
6.33999999999991,-75.9022964081879
6.34999999999991,-74.6198938669603
6.35999999999991,-73.3246171489406
6.36999999999991,-72.0182603169932
6.37999999999991,-70.7024316696339
6.38999999999991,-69.3785627298476
6.39999999999991,-68.0479174311729
6.40999999999991,-66.7116014090566
6.41999999999991,-65.3705713443537
6.42999999999991,-64.0256441506732
6.43999999999991,-62.6775061731169
6.44999999999991,-61.3267222609058
6.45999999999991,-59.9737444841743
6.46999999999991,-58.618920709034
6.47999999999991,-57.2625029040245
6.48999999999991,-55.9046551632564
6.49999999999991,-54.5454614361573
6.50999999999991,-53.1849329605884
6.51999999999991,-51.8230153975423
6.52999999999991,-50.4595956726513
6.53999999999991,-49.0945085268619
6.5499999999999,-47.7275427870825
6.5599999999999,-46.35844736753
6.5699999999999,-44.9869370153356
6.5799999999999,-43.6126978125775
6.5899999999999,-42.2353924458831
6.5999999999999,-40.8546652576262
6.6099999999999,-39.4701470895658
6.6199999999999,-38.0814599293232
6.6299999999999,-36.6882213661288
6.6399999999999,-35.2900488618059
6.6499999999999,-33.8865638394096
6.6599999999999,-32.4773955914396
6.6699999999999,-31.062185002672
6.6799999999999,-29.6405880835757
6.6899999999999,-28.2122793045889
6.6999999999999,-26.7769547222181
6.7099999999999,-25.3343348822099
6.7199999999999,-23.8841674864105
6.7299999999999,-22.426229805444
6.7399999999999,-20.9603308219531
6.7499999999999,-19.4863130874065
6.7599999999999,-18.0040542759995
6.7699999999999,-16.5134684224074
