"Plot9"
"Time (sec)","Acceleration1 (mm/sec**2)","Acceleration2 (mm/sec**2)","Linear Acceleration2 (mm/sec**2)"
1.66,9.40855923310997e-13,3150.8282729637,2.92916600851243
1.67,9.40855923310997e-13,3456.81472467932,2.59524429440212
1.68,9.40855923310997e-13,3733.33420283034,2.25888135282922
1.69,9.40855923310997e-13,3981.00575456845,1.92152897797732
1.7,9.40855923310997e-13,4200.57066864894,1.58459230977833
1.71,9.40855923310997e-13,4392.8821529921,1.24941472257242
1.72,9.40855923310997e-13,4558.89385255041,0.917265047411394
1.73,9.40855923310997e-13,4699.64749974247,0.589327154638092
1.74,9.40855923310997e-13,4816.26000772928,0.266691857738244
1.75,9.40855923310997e-13,4909.91030635767,-0.049648951172027
1.76,9.40855923310997e-13,4981.82620601725,-0.358806070990394
1.77,9.40855923310997e-13,5033.2715413365,-0.659994832317004
1.78,9.40855923310997e-13,5065.53381037416,-0.952535202552219
1.79,9.40855923310997e-13,5079.91250036544,-1.23585035945472
1.8,9.40855923310997e-13,5077.70824020054,-1.50946394048914
1.81,9.40855923310996e-13,5060.2128788091,-1.77299618536002
1.82,9.40855923310997e-13,5028.70056699685,-2.02615917521178
1.83,9.40855923310997e-13,4984.41988029218,-2.26875136073884
1.84,9.40855923310997e-13,4928.58699929792,-2.50065156304658
1.85,9.40855923310997e-13,4862.37992755648,-2.72181261531493
1.86,9.40855923310997e-13,4786.93371507484,-2.93225479321093
1.87,9.40855923310997e-13,4703.33664671751,-3.13205916064422
1.88,9.40855923310997e-13,4612.62732796605,-3.32136094817936
1.89,9.40855923310996e-13,4515.79260066873,-3.50034305912425
1.9,9.40855923310996e-13,4413.7662127585,-3.66922977581482
1.91,9.40855923310996e-13,4307.42816739262,-3.82828073302053
1.92,9.40855923310996e-13,4197.60467558911,-3.97778520703312
1.93,9.40855923310996e-13,4085.06862830632,-4.11805675473136
1.94,9.40855923310997e-13,3970.54030290367,-4.24942886505821
1.95,9.40855923310997e-13,3854.68964178537,-4.37224686605092
1.96,9.40855923310997e-13,3738.13603395127,-4.48687152955069
1.97,9.40855923310997e-13,3621.45178447051,-4.59366645938832
1.98,9.40855923310997e-13,3505.16396145364,-4.69299839651775
1.99,9.40855923310997e-13,3389.75518921084,-4.78523795487395
2,9.40855923310997e-13,3275.6681182315,-4.87074855221318
2.01,9.40855923310997e-13,3163.30597171859,-4.94989182568051
2.02,9.40855923310997e-13,3053.03580477636,-5.02302136948613
2.03,9.40855923310997e-13,2945.1906409316,-5.09048222117885
2.04,9.40855923310997e-13,2840.07181310883,-5.15260927773523
2.05,9.40855923310997e-13,2737.95126068261,-5.20972601231457
2.06,9.40855923310997e-13,2639.0737387256,-5.26214348578279
2.07,9.40855923310997e-13,2543.65894414264,-5.31015953621812
2.08,9.40855923310997e-13,2451.90355773636,-5.35405815658127
2.09,9.40855923310997e-13,2363.98316667886,-5.39410903249688
2.1,9.40855923310997e-13,2280.05409918455,-5.43056721569133
2.11,9.40855923310997e-13,2200.25513198073,-5.46367292367165
2.12,9.40855923310997e-13,2124.70909104178,-5.49365143919705
2.13,9.40855923310997e-13,2053.52434022247,-5.52071309524964
2.14,9.40855923310997e-13,1986.79615096734,-5.54505333727275
2.15,9.40855923310997e-13,1924.60796638278,-5.5668528338065
2.16,9.40855923310997e-13,1867.03255382525,-5.58627764066917
2.17,9.40855923310997e-13,1814.13305101102,-5.60347939223042
2.18,9.40855923310997e-13,1765.96391222307,-5.6185955149646
2.19,9.40855923310997e-13,1722.57175344589,-5.63174946039757
2.2,9.40855923310997e-13,1683.99610378421,-5.64305093231094
2.21,9.40855923310997e-13,1650.27006629611,-5.65259612298762
2.22,9.40855923310997e-13,1621.42088844903,-5.66046792944039
2.23,9.40855923310997e-13,1597.470453611,-5.66673616447184
2.24,9.40855923310997e-13,1578.43568504822,-5.67145774071627
2.25,9.40855923310997e-13,1564.32887835014,-5.67467683813694
2.26,9.40855923310997e-13,1555.15795362123,-5.67642503927581
2.27,9.40855923310997e-13,1550.92663495998,-5.67672144184959
2.28,9.40855923310997e-13,1551.63456189099,-5.67557273437296
2.29,9.40855923310997e-13,1557.27732040499,-5.67297324776251
2.29999999999999,9.40855923310997e-13,1567.84641787791,-5.66890496731614
2.30999999999999,9.40855923310997e-13,1583.32916981225,-5.66333752082716
2.31999999999999,9.40855923310997e-13,1603.70853579756,-5.65622812875259
2.32999999999999,9.40855923310997e-13,1628.96286276144,-5.64752153283023
2.33999999999999,9.40855923310997e-13,1659.06557747306,-5.63714988981707
2.34999999999999,9.40855923310997e-13,1693.98478086348,-5.62503265027992
2.35999999999999,9.40855923310997e-13,1733.68278929409,-5.61107640821463
2.36999999999999,9.40855923310997e-13,1778.11557438686,-5.59517474314666
2.37999999999999,9.40855923310997e-13,1827.23213802203,-5.57720804534845
2.38999999999999,9.40855923310997e-13,1880.97379124578,-5.55704334082494
2.39999999999999,9.40855923310997e-13,1939.27334878415,-5.53453411636656
2.40999999999999,9.40855923310997e-13,2002.05423433028,-5.50952015623584
2.41999999999999,9.40855923310997e-13,2069.22948279894,-5.48182739718216
2.42999999999999,9.40855923310997e-13,2140.70065990011,-5.45126781289395
2.43999999999999,9.40855923310997e-13,2216.35665968073,-5.41763933822131
2.44999999999999,9.40855923310997e-13,2296.07242830044,-5.38072584493429
2.45999999999999,9.40855923310997e-13,2379.70755129678,-5.34029718289553
2.46999999999999,9.40855923310997e-13,2467.10477174564,-5.29610929977279
2.47999999999999,9.40855923310997e-13,2558.08837007912,-5.24790445680552
2.48999999999999,9.40855923310997e-13,2652.46247625697,-5.1954115520979
2.49999999999999,9.40855923310997e-13,2750.0092523046,-5.13834657937572
2.50999999999999,9.40855923310997e-13,2850.48700955874,-5.07641322424332
2.51999999999999,9.40855923310997e-13,2953.62822190338,-5.00930363865732
2.52999999999999,9.40855923310997e-13,3059.13747180255,-4.93669939199891
2.53999999999999,9.40855923310997e-13,3166.68933887806,-4.85827263863433
