"Plot2"
"Time (sec)","Center of Mass Position2 (mm)","Center of Mass Position4 (mm)","Center of Mass Position5 (mm)"
1.86,3.67761376907083e-13,-1727.85066901713,-972.984423444441
1.87,3.67761376907083e-13,-1739.16874398447,-952.723606915965
1.88,3.67761376907083e-13,-1750.016544534,-932.770030332028
1.89,3.67761376907083e-13,-1760.40313337335,-913.142738682136
1.9,3.67761376907083e-13,-1770.33818619375,-893.859752995131
1.91,3.67761376907083e-13,-1779.83189830067,-874.938091549999
1.92,3.67761376907083e-13,-1788.89489661377,-856.393794691777
1.93,3.67761376907083e-13,-1797.53815704179,-838.241952681759
1.94,3.67761376907083e-13,-1805.77292718636,-820.496736044705
1.95,3.67761376907083e-13,-1813.61065428235,-803.171427914744
1.96,3.67761376907083e-13,-1821.0629182453,-786.278457919197
1.97,3.67761376907083e-13,-1828.14136966706,-769.829437174763
1.98,3.67761376907083e-13,-1834.85767257431,-753.835194011627
1.99,3.67761376907083e-13,-1841.22345174456,-738.305810081551
2,3.67761376907083e-13,-1847.25024436017,-723.2506565422
2.01,3.67761376907083e-13,-1852.94945577193,-708.67843004365
2.02,3.67761376907083e-13,-1858.33231913809,-694.597188276404
2.03,3.67761376907083e-13,-1863.40985870178,-681.014384872784
2.04,3.67761376907083e-13,-1868.19285647005,-667.936903483729
2.05,3.67761376907083e-13,-1872.69182206122,-655.371090880194
2.06,3.67761376907083e-13,-1876.91696549238,-643.322788952596
2.07,3.67761376907083e-13,-1880.8781726862,-631.797365504061
2.08,3.67761376907083e-13,-1884.58498348417,-620.799743753987
2.09,3.67761376907083e-13,-1888.04657196283,-610.334430487228
2.1,3.67761376907083e-13,-1891.27172885949,-600.405542800325
2.11,3.67761376907083e-13,-1894.26884592524,-591.016833409755
2.12,3.67761376907083e-13,-1897.04590203393,-582.17171449922
2.13,3.67761376907083e-13,-1899.61045088718,-573.873280093854
2.14,3.67761376907083e-13,-1901.96961016672,-566.124326958427
2.15,3.67761376907083e-13,-1904.13005199658,-558.927374023652
2.16,3.67761376907083e-13,-1906.0979945892,-552.284680350216
2.17,3.67761376907083e-13,-1907.87919495997,-546.198261644775
2.18,3.67761376907083e-13,-1909.47894260565,-540.669905345972
2.19,3.67761376907083e-13,-1910.90205405188,-535.701184300983
2.2,3.67761376907083e-13,-1912.15286818532,-531.293469054226
2.21,3.67761376907083e-13,-1913.23524229517,-527.447938770362
2.22,3.67761376907083e-13,-1914.15254875823,-524.165590813711
2.23,3.67761376907083e-13,-1914.90767230997,-521.447249005616
2.24,3.67761376907083e-13,-1915.50300785292,-519.293570579861
2.25,3.67761376907083e-13,-1915.94045876149,-517.705051854258
2.26,3.67761376907083e-13,-1916.22143565032,-516.682032634294
2.27,3.67761376907083e-13,-1916.34685558085,-516.224699362398
2.28,3.67761376907083e-13,-1916.3171416879,-516.333087023623
2.29,3.67761376907083e-13,-1916.13222321553,-517.007079815491
2.29999999999999,3.67761376907083e-13,-1915.79153595855,-518.246410586639
2.30999999999999,3.67761376907083e-13,-1915.29402311289,-520.050659045911
2.31999999999999,3.67761376907083e-13,-1914.63813654519,-522.419248740518
2.32999999999999,3.67761376907083e-13,-1913.82183849925,-525.351442798894
2.33999999999999,3.67761376907083e-13,-1912.84260376363,-528.846338431032
2.34999999999999,3.67761376907083e-13,-1911.69742233257,-532.902860176481
2.35999999999999,3.67761376907083e-13,-1910.38280259955,-537.519751887964
