"Body 2 CM Motion"
"Time (sec)","Center of Mass Position6 (mm)","Center of Mass Position8 (mm)","Center of Mass Position9 (mm)"
1.43,7.94503351997378e-13,-2794.73145087747,-3919.93006371053
1.44,7.94503351997378e-13,-2850.84882839256,-3837.78189460267
1.45,7.94503351997378e-13,-2903.49366972762,-3754.56499672897
1.46,7.94503351997378e-13,-2952.89985478107,-3670.65728526375
1.47,7.94503351997378e-13,-2999.29002547601,-3586.37936934637
1.48,7.94503351997378e-13,-3042.87354820187,-3502.00234015801
1.49,7.94503351997378e-13,-3083.84587312906,-3417.75497834964
1.5,7.94503351997378e-13,-3122.38871369595,-3333.83010876373
1.51,7.94503351997378e-13,-3158.67066890315,-3250.39005062951
1.52,7.94503351997378e-13,-3192.84805227349,-3167.57122026776
1.53,7.94503351997378e-13,-3225.06578634642,-3085.48798858692
1.54,7.94503351997378e-13,-3255.4582829817,-3004.23590656942
1.55,7.94503351997378e-13,-3284.15026828742,-2923.89440622156
1.56,7.94503351997378e-13,-3311.25753441111,-2844.52907165486
1.57,7.94503351997378e-13,-3336.88761414955,-2766.19356022616
1.58,7.94503351997378e-13,-3361.14038196983,-2688.93123952264
1.59,7.94503351997378e-13,-3384.10858878705,-2612.77659315386
1.6,7.94503351997378e-13,-3405.87833955372,-2537.75643801574
1.61,7.94503351997378e-13,-3426.52952279877,-2463.89098651039
1.62,7.94503351997378e-13,-3446.13620056365,-2391.19477980121
1.63,7.94503351997378e-13,-3464.76696656363,-2319.67751317558
1.64,7.94503351997378e-13,-3482.48527888423,-2249.34476922264
1.65,7.94503351997378e-13,-3499.34977268282,-2180.1986716502
1.66,7.94503351997378e-13,-3515.41455699615,-2112.23846933298
1.67,7.94503351997378e-13,-3530.72949890569,-2045.46105841279
1.68,7.94503351997378e-13,-3545.34049730612,-1979.86144850778
1.69,7.94503351997378e-13,-3559.28974779165,-1915.43317799488
1.7,7.94503351997378e-13,-3572.615999533,-1852.16868247724
1.71,7.94503351997378e-13,-3585.35480447797,-1790.05961990832
1.72,7.94503351997378e-13,-3597.53875885409,-1729.0971554891
1.73,7.94503351997378e-13,-3609.19773662532,-1669.27220911908
1.74,7.94503351997378e-13,-3620.35911440537,-1610.57566806006
1.75,7.94503351997378e-13,-3631.04798719533,-1552.99856732055
1.76,7.94503351997378e-13,-3641.28737430204,-1496.53224023216
