"Plot13"
"Time (sec)","Angular Velocity2 (deg/sec)"
2.49999999999999,40.4220085653981
2.50999999999999,42.8123518011949
2.51999999999999,45.2919993455272
2.52999999999999,47.8639989855468
2.53999999999999,50.5312863853835
2.54999999999999,53.2966769807235
2.55999999999999,56.1628576649268
2.56999999999999,59.1323783221882
2.57999999999999,62.2076432720206
2.58999999999999,65.3909027068896
2.59999999999999,68.6842442149023
2.60999999999999,72.0895845004206
2.61999999999999,75.6086614278398
2.62999999999999,79.2430265373861
2.63999999999999,82.9940381985702
2.64999999999999,86.8628555909672
2.65999999999999,90.8504337231031
2.66999999999999,94.9575197270049
2.67999999999999,99.1846506875296
2.68999999999999,103.532153295779
2.69999999999999,108.00014563853
2.70999999999999,112.588541465708
2.71999999999999,117.29705730071
2.72999999999999,122.125222789213
2.73999999999999,127.072394700071
2.74999999999999,132.137775022379
2.75999999999999,137.320433616964
2.76999999999998,142.619335902994
2.77999999999998,148.033376073803
2.78999999999998,153.561415706158
2.79999999999998,159.202333612986
2.80999999999998,164.955069262199
2.81999999999998,170.81869328223
2.82999999999998,176.792471515506
2.83999999999998,182.875942232548
2.84999999999998,189.069002580859
2.85999999999998,195.37200432937
2.86999999999998,201.785859403164
2.87999999999998,208.312155784918
2.88999999999998,214.953283887856
2.89999999999998,221.71257363659
2.90999999999998,228.594442132287
2.91999999999998,235.604551545392
2.92999999999998,242.749976375034
2.93999999999998,250.039378463253
2.94999999999998,257.4831870428
2.95999999999998,265.093779334123
2.96999999999998,272.885654608758
2.97999999999998,280.875590652593
2.98999999999998,289.082765638246
2.99999999999998,297.528819542661
3.00999999999998,306.237816111901
3.01999999999998,315.236047022494
3.02999999999998,324.551591657398
3.03999999999998,334.213505236556
3.04999999999998,344.250450500225
3.05999999999998,354.688508765114
3.06999999999998,365.547801346399
3.07999999999998,376.837435896047
3.08999999999998,388.548131486684
3.09999999999998,400.641840795852
3.10999999999998,413.037724796273
3.11999999999998,425.594330634405
3.12999999999998,438.08903513604
3.13999999999998,450.198214328917
3.14999999999998,461.485339039744
3.15999999999998,471.408394774622
3.16999999999998,479.359699731528
3.17999999999998,484.745314015088
3.18999999999998,487.094317270804
3.19999999999998,486.165565400377
3.20999999999998,482.007924027599
3.21999999999998,474.945127861813
3.22999999999998,465.492690336485
3.23999999999997,454.244973640528
3.24999999999997,441.774678475538
3.25999999999997,428.568742330187
3.26999999999997,415.002621698322
3.27999999999997,401.342195668366
3.28999999999997,387.76017636463
3.29999999999997,374.357108573142
3.30999999999997,361.181320994346
3.31999999999997,348.245463511801
3.32999999999997,335.539168027341
3.33999999999997,323.038258984082
3.34999999999997,310.711201688322
3.35999999999997,298.523491300207
3.36999999999997,286.44055501228
3.37999999999997,274.429610988652
3.38999999999997,262.460806126561
3.39999999999997,250.507860096518
3.40999999999997,238.548372822867
3.41999999999997,226.563903356045
3.42999999999997,214.539890351419
3.43999999999997,202.465466966869
3.44999999999997,190.333199680488
3.45999999999997,178.138775903982
3.46999999999997,165.880655411996
3.47999999999997,153.559697766662
3.48999999999997,141.178774327134
3.49999999999997,128.742372256037
3.50999999999997,116.256196699986
3.51999999999997,103.726776750278
3.52999999999997,91.1610805522151
3.53999999999997,78.5661446535892
3.54999999999997,65.948722846922
3.55999999999997,53.3149598182285
3.56999999999997,40.6700954237889
3.57999999999997,28.0182060723957
3.58999999999997,15.3619909128617
3.59999999999997,2.70261234763335
3.60999999999997,-9.96039682974705
