"Plot11"
"Time (sec)","Linear Acceleration3 (mm/sec**2)","Acceleration3 (mm/sec**2)","Linear Acceleration4 (mm/sec**2)"
3.92999999999996,2.01049042468625e-12,-13300.4780439294,6.32938811720883
3.93999999999996,2.00497752084371e-12,-11713.3291489711,4.27005786863592
3.94999999999996,1.9988002279647e-12,-10348.8138112447,2.42640585553716
3.95999999999996,1.99230579573324e-12,-9180.58955963641,0.786914964676923
3.96999999999996,1.98574148389149e-12,-8182.25448161121,-0.664824758308293
3.97999999999996,1.97927800890916e-12,-7329.24911356692,-1.94696518304353
3.98999999999996,1.9730268673175e-12,-6599.4173787835,-3.07797413276887
3.99999999999996,1.96705748822605e-12,-5973.44355072101,-4.0753362483216
4.00999999999996,1.96140888373489e-12,-5434.7253328678,-4.95512320613474
4.01999999999996,1.95609887688522e-12,-4969.16231844834,-5.73177045664234
4.02999999999996,1.95113082207095e-12,-4564.86908431653,-6.41805680306143
4.03999999999996,1.94649845881233e-12,-4211.87626832073,-7.02518783981132
4.04999999999996,1.94218936827494e-12,-3901.84754761115,-7.56293013600327
4.05999999999996,1.93818740701578e-12,-3627.82482680447,-8.03976896066503
