"Plot6"
"Time (sec)","Linear Velocity1 (mm/sec)","Linear Velocity3 (mm/sec)","Linear Velocity4 (mm/sec)"
3.01999999999998,2.85603676741027e-12,2024.75744734846,-1366.01599801535
3.02999999999998,2.86516404827875e-12,1980.68551534442,-1301.87743880874
3.03999999999998,2.8743065172587e-12,1929.69657154689,-1236.3945356659
3.04999999999998,2.88346578013803e-12,1871.71677895191,-1169.75807880726
3.05999999999998,2.89264334534652e-12,1806.75289000613,-1102.17804034062
3.06999999999998,2.90184057273593e-12,1734.92497358581,-1033.89508955827
3.07999999999998,2.91105860394879e-12,1656.51253202884,-965.198089495299
3.08999999999998,2.92029826757492e-12,1572.01911797722,-896.449877157136
3.09999999999998,2.92955995196787e-12,1482.25964644366,-828.123292383744
3.10999999999998,2.93884343838235e-12,1388.47454335055,-760.849330057904
3.11999999999998,2.94814769099862e-12,1292.46989095439,-695.477013894924
3.12999999999998,2.95747061008213e-12,1196.77265475384,-633.139845455638
3.13999999999998,2.96680877422128e-12,1104.7708400998,-575.31459448123
3.14999999999998,2.97615722916738e-12,1020.77954519428,-523.844485989706
3.15999999999998,2.98550941876046e-12,949.94287809785,-480.884096963252
3.16999999999998,2.99485737655635e-12,897.872040671261,-448.718813987585
3.17999999999998,3.00419226690414e-12,869.969738450059,-429.436071128939
3.18999999999998,3.01350524971044e-12,870.525181998918,-424.490909477073
3.19999999999998,3.02278847013536e-12,901.839302310851,-434.293772791515
3.20999999999998,3.03203585425628e-12,963.726821707334,-457.990377850956
3.21999999999998,3.04124344554244e-12,1053.6216792752,-493.54339584097
3.22999999999998,3.05040923602711e-12,1167.22984684382,-538.085436812312
3.23999999999997,3.0595326702235e-12,1299.43361515766,-588.393730486277
3.24999999999997,3.06861407768885e-12,1445.11504003619,-641.319165389289
3.25999999999997,3.07765421778579e-12,1599.70397888845,-694.071749177269
3.26999999999997,3.08665399878292e-12,1759.42628721168,-744.35045656917
3.27999999999997,3.09561434803107e-12,1921.32938574581,-790.357063372343
3.28999999999997,3.10453617981325e-12,2083.1846413996,-830.74508945097
3.29999999999997,3.1134204124082e-12,2243.34428166448,-864.544056253124
3.30999999999997,3.12226800230397e-12,2400.59885367583,-891.083076198201
3.31999999999997,3.13107997843689e-12,2554.05609947788,-909.924824583357
3.32999999999997,3.13985746910187e-12,2703.04694698882,-920.813030602641
3.33999999999997,3.14860171955825e-12,2847.05680753048,-923.632648191265
3.34999999999997,3.1573141005725e-12,2985.67776956953,-918.380450984441
3.35999999999997,3.16599610917188e-12,3118.57674296497,-905.143480037053
3.36999999999997,3.17464936291381e-12,3245.47529599464,-884.08311822194
3.37999999999997,3.18327558891204e-12,3366.13774814223,-855.423002034664
3.38999999999997,3.19187660868922e-12,3480.36490805882,-819.439432586764
3.39999999999997,3.20045431978251e-12,3587.99152504691,-776.453327924026
3.40999999999997,3.20901067492668e-12,3688.88604624133,-726.823059386045
3.41999999999997,3.21754765953923e-12,3782.95167577643,-670.937747849904
3.42999999999997,3.22606726826369e-12,3870.12798629552,-609.210754252963
3.43999999999997,3.23457148113761e-12,3950.39261114799,-542.073245237004
3.44999999999997,3.24306224006337e-12,4023.76263375437,-469.96777880099
3.45999999999997,3.2515414261088e-12,4090.29545808564,-393.34193304712
3.46999999999997,3.26001083814791e-12,4150.08901473976,-312.642033518996
3.47999999999997,3.26847217327257e-12,4203.2812340386,-228.307059762305
3.48999999999997,3.27692700933508e-12,4250.04876955063,-140.762820986657
3.49999999999997,3.28537678989826e-12,4290.60499836189,-50.4164911541828
3.50999999999997,3.29382281178731e-12,4325.19735557797,42.3484138964436
3.51999999999997,3.3022662153566e-12,4354.1040820644,137.176547276154
3.52999999999997,3.31070797750752e-12,4377.63047895597,233.74467596683
3.53999999999997,3.3191489074283e-12,4396.10476795657,331.765023504367
3.54999999999997,3.32758964497165e-12,4409.87365646418,430.987991684507
3.55999999999997,3.33603066155016e-12,4419.29769890761,531.204258481097
3.56999999999997,3.34447226341204e-12,4424.74653281618,632.24626240443
3.57999999999997,3.35291459716709e-12,4426.59404878394,733.989092161729
3.58999999999997,3.36135765746855e-12,4425.21352860354,836.350803337271
3.59999999999997,3.36980129682594e-12,4420.97275463846,939.29217918962
3.60999999999997,3.37824523763411e-12,4414.22905565592,1042.81593852963
3.61999999999997,3.38668908666467e-12,4405.32420882795,1146.96536746116
3.62999999999997,3.3951323524884e-12,4394.57906303207,1251.82230999973
3.63999999999997,3.40357446659869e-12,4382.28768332052,1357.50439067732
3.64999999999997,3.41201480940585e-12,4368.71073867433,1464.16125406577
3.65999999999997,3.42045274279183e-12,4354.06776382385,1571.96948400606
3.66999999999997,3.42888765157912e-12,4338.52782191472,1681.12570005362
3.67999999999997,3.43731899708571e-12,4322.1979838178,1791.83711093214
3.68999999999997,3.44574638689786e-12,4305.10893747141,1904.30852827937
3.69999999999997,3.45416966601159e-12,4287.19698077094,2018.72451261121
3.70999999999996,3.46258903536153e-12,4268.28169982923,2135.22496919547
3.71999999999996,3.47100520417413e-12,4248.03889520083,2253.87214365578
3.72999999999996,3.4794195806175e-12,4225.96913447943,2374.60720411052
3.73999999999996,3.48783450337765e-12,4201.36338952854,2497.19423976937
3.74999999999996,3.49625350456948e-12,4173.27022199883,2621.15226362343
3.75999999999996,3.50468158096973e-12,4140.47235784888,2745.67803374645
3.76999999999996,3.51312542312888e-12,4101.48591379357,2869.56904808684
3.77999999999996,3.52159351905984e-12,4054.60075072482,2991.1645299428
3.78999999999996,3.53009601790336e-12,3997.98288308768,3108.33206784987
3.79999999999996,3.53864423205087e-12,3929.85431026813,3218.53378738581
3.80999999999996,3.54724970533347e-12,3848.74657965112,3319.00036488802
3.81999999999996,3.55592290220073e-12,3753.79127732297,3407.01589744611
3.82999999999996,3.56467175593915e-12,3644.97462367808,3480.27252862678
